timestamp_utc,asset,price,volume
2026-03-11T11:30:39Z,SPY,677.18,80651435
2026-03-11T11:30:39Z,QQQ,607.77,63309130
2026-03-11T11:30:39Z,AAPL,260.83,26403306
2026-03-11T11:30:39Z,MSFT,405.76,31601780
2026-03-11T11:30:39Z,NVDA,184.77,178278679
2026-03-11T11:30:39Z,TSLA,399.24,59079142
2026-03-11T16:02:10Z,SPY,673.81,27194614
2026-03-11T16:02:10Z,QQQ,606.02,29984236
2026-03-11T16:02:10Z,AAPL,260.31,8086106
2026-03-11T16:02:10Z,MSFT,402.52,11361302
2026-03-11T16:02:10Z,NVDA,185.47,68569752
2026-03-11T16:02:10Z,TSLA,406.66,35704819
2026-03-11T16:30:11Z,SPY,674.83,30819468
2026-03-11T16:30:11Z,QQQ,607.07,33414901
2026-03-11T16:30:11Z,AAPL,260.73,8843159
2026-03-11T16:30:11Z,MSFT,403.25,12142558
2026-03-11T16:30:11Z,NVDA,185.6,74364814
2026-03-11T16:30:11Z,TSLA,407.52,38428021
2026-03-11T17:01:59Z,SPY,676.24,33678618
2026-03-11T17:01:59Z,QQQ,608.37,36500359
2026-03-11T17:01:59Z,AAPL,260.57,9671749
2026-03-11T17:01:59Z,MSFT,403.82,12945881
2026-03-11T17:01:59Z,NVDA,185.78,79874527
2026-03-11T17:01:59Z,TSLA,407.22,41404782
2026-03-11T17:30:11Z,SPY,676.49,36407999
2026-03-11T17:30:11Z,QQQ,608.31,39050565
2026-03-11T17:30:11Z,AAPL,261.03,10360532
2026-03-11T17:30:11Z,MSFT,404.25,13538141
2026-03-11T17:30:11Z,NVDA,185.61,84698749
2026-03-11T17:30:11Z,TSLA,408.24,43819597
2026-03-11T18:02:25Z,SPY,674.91,41703170
2026-03-11T18:02:25Z,QQQ,606.94,45061356
2026-03-11T18:02:25Z,AAPL,260.33,11483830
2026-03-11T18:02:25Z,MSFT,403.42,14560777
2026-03-11T18:02:25Z,NVDA,185.18,92659436
2026-03-11T18:02:25Z,TSLA,405.5,47246724
2026-03-11T18:30:10Z,SPY,675.42,45055585
2026-03-11T18:30:10Z,QQQ,607.05,48008627
2026-03-11T18:30:10Z,AAPL,260.19,12219109
2026-03-11T18:30:10Z,MSFT,403.76,15219188
2026-03-11T18:30:10Z,NVDA,185.2,97431921
2026-03-11T18:30:10Z,TSLA,405.65,49661417
2026-03-11T19:02:31Z,SPY,674.77,49343429
2026-03-11T19:02:31Z,QQQ,606.57,51146826
2026-03-11T19:02:31Z,AAPL,260.0,13083683
2026-03-11T19:02:31Z,MSFT,403.93,16030767
2026-03-11T19:02:31Z,NVDA,185.34,103473874
2026-03-11T19:02:31Z,TSLA,406.06,52086475
2026-03-11T19:30:11Z,SPY,675.11,53039461
2026-03-11T19:30:11Z,QQQ,606.69,53568101
2026-03-11T19:30:11Z,AAPL,260.19,13822162
2026-03-11T19:30:11Z,MSFT,403.92,16817925
2026-03-11T19:30:11Z,NVDA,185.34,108432739
2026-03-11T19:30:11Z,TSLA,406.38,54200102
2026-03-11T20:02:20Z,SPY,676.28,61344200
2026-03-11T20:02:20Z,QQQ,607.69,58315722
2026-03-11T20:02:20Z,AAPL,260.81,22642553
2026-03-11T20:02:20Z,MSFT,404.88,23328087
2026-03-11T20:02:20Z,NVDA,186.0,133722694
2026-03-11T20:02:20Z,TSLA,407.82,61215452
2026-03-11T20:30:09Z,SPY,676.33,63925545
2026-03-11T20:30:09Z,QQQ,607.69,58692761
2026-03-11T20:30:09Z,AAPL,260.81,22642553
2026-03-11T20:30:09Z,MSFT,404.88,25336434
2026-03-11T20:30:09Z,NVDA,186.03,138663908
2026-03-11T20:30:09Z,TSLA,407.82,61215452
2026-03-11T21:01:16Z,SPY,676.33,67291756
2026-03-11T21:01:16Z,QQQ,607.69,58692761
2026-03-11T21:01:16Z,AAPL,260.81,25826274
2026-03-11T21:01:16Z,MSFT,404.88,25374129
2026-03-11T21:01:16Z,NVDA,186.03,138663908
2026-03-11T21:01:16Z,TSLA,407.82,62101725
2026-03-11T21:30:09Z,SPY,676.33,67291756
2026-03-11T21:30:09Z,QQQ,607.69,58692761
2026-03-11T21:30:09Z,AAPL,260.81,25826274
2026-03-11T21:30:09Z,MSFT,404.88,25374129
2026-03-11T21:30:09Z,NVDA,186.03,138663908
2026-03-11T21:30:09Z,TSLA,407.82,62101725
2026-03-11T22:01:54Z,SPY,676.33,67291756
2026-03-11T22:01:54Z,QQQ,607.69,58692761
2026-03-11T22:01:54Z,AAPL,260.81,25826274
2026-03-11T22:01:54Z,MSFT,404.88,25374129
2026-03-11T22:01:54Z,NVDA,186.03,138663908
2026-03-11T22:01:54Z,TSLA,407.82,62101725
2026-03-11T22:30:13Z,SPY,676.33,67291756
2026-03-11T22:30:13Z,QQQ,607.69,58692761
2026-03-11T22:30:13Z,AAPL,260.81,25826274
2026-03-11T22:30:13Z,MSFT,404.88,25374129
2026-03-11T22:30:13Z,NVDA,186.03,138663908
2026-03-11T22:30:13Z,TSLA,407.82,62101725
2026-03-11T23:02:46Z,SPY,676.33,67291756
2026-03-11T23:02:46Z,QQQ,607.69,58692761
2026-03-11T23:02:46Z,AAPL,260.81,25826274
2026-03-11T23:02:46Z,MSFT,404.88,25374129
2026-03-11T23:02:46Z,NVDA,186.03,138663908
2026-03-11T23:02:46Z,TSLA,407.82,62101725
2026-03-11T23:30:20Z,SPY,676.33,67291756
2026-03-11T23:30:20Z,QQQ,607.69,58692761
2026-03-11T23:30:20Z,AAPL,260.81,25826274
2026-03-11T23:30:20Z,MSFT,404.88,25374129
2026-03-11T23:30:20Z,NVDA,186.03,138663908
2026-03-11T23:30:20Z,TSLA,407.82,62101725
2026-03-12T00:02:33Z,SPY,676.33,67291756
2026-03-12T00:02:33Z,QQQ,607.69,58692761
2026-03-12T00:02:33Z,AAPL,260.81,25826274
2026-03-12T00:02:33Z,MSFT,404.88,25374129
2026-03-12T00:02:33Z,NVDA,186.03,138663908
2026-03-12T00:02:33Z,TSLA,407.82,62101725
2026-03-12T00:30:06Z,SPY,676.33,67291756
2026-03-12T00:30:06Z,QQQ,607.69,58692761
2026-03-12T00:30:06Z,AAPL,260.81,25826274
2026-03-12T00:30:06Z,MSFT,404.88,25374129
2026-03-12T00:30:06Z,NVDA,186.03,138663908
2026-03-12T00:30:06Z,TSLA,407.82,62101725
2026-03-12T01:02:48Z,SPY,676.33,67291756
2026-03-12T01:02:48Z,QQQ,607.69,58692761
2026-03-12T01:02:48Z,AAPL,260.81,25826274
2026-03-12T01:02:48Z,MSFT,404.88,25374129
2026-03-12T01:02:48Z,NVDA,186.03,138663908
2026-03-12T01:02:48Z,TSLA,407.82,62101725
2026-03-12T01:30:10Z,SPY,676.33,67291756
2026-03-12T01:30:10Z,QQQ,607.69,58692761
2026-03-12T01:30:10Z,AAPL,260.81,25826274
2026-03-12T01:30:10Z,MSFT,404.88,25374129
2026-03-12T01:30:10Z,NVDA,186.03,138663908
2026-03-12T01:30:10Z,TSLA,407.82,62101725
2026-03-12T02:02:53Z,SPY,676.33,67291756
2026-03-12T02:02:53Z,QQQ,607.69,58692761
2026-03-12T02:02:53Z,AAPL,260.81,25826274
2026-03-12T02:02:53Z,MSFT,404.88,25374129
2026-03-12T02:02:53Z,NVDA,186.03,138663908
2026-03-12T02:02:53Z,TSLA,407.82,62101725
2026-03-12T02:30:09Z,SPY,676.33,67291756
2026-03-12T02:30:09Z,QQQ,607.69,58692761
2026-03-12T02:30:09Z,AAPL,260.81,25826274
2026-03-12T02:30:09Z,MSFT,404.88,25374129
2026-03-12T02:30:09Z,NVDA,186.03,138663908
2026-03-12T02:30:09Z,TSLA,407.82,62101725
2026-03-12T03:01:36Z,SPY,676.33,67291756
2026-03-12T03:01:36Z,QQQ,607.69,58692761
2026-03-12T03:01:36Z,AAPL,260.81,25826274
2026-03-12T03:01:36Z,MSFT,404.88,25374129
2026-03-12T03:01:36Z,NVDA,186.03,138663908
2026-03-12T03:01:36Z,TSLA,407.82,62101725
2026-03-12T03:30:10Z,SPY,676.33,67291756
2026-03-12T03:30:10Z,QQQ,607.69,58692761
2026-03-12T03:30:10Z,AAPL,260.81,25826274
2026-03-12T03:30:10Z,MSFT,404.88,25374129
2026-03-12T03:30:10Z,NVDA,186.03,138663908
2026-03-12T03:30:10Z,TSLA,407.82,62101725
2026-03-12T04:01:54Z,SPY,676.33,67291756
2026-03-12T04:01:54Z,QQQ,607.69,58692761
2026-03-12T04:01:54Z,AAPL,260.81,25826274
2026-03-12T04:01:54Z,MSFT,404.88,25374129
2026-03-12T04:01:54Z,NVDA,186.03,138663908
2026-03-12T04:01:54Z,TSLA,407.82,62101725
2026-03-12T04:30:10Z,SPY,676.33,67291756
2026-03-12T04:30:10Z,QQQ,607.69,58692761
2026-03-12T04:30:10Z,AAPL,260.81,25826274
2026-03-12T04:30:10Z,MSFT,404.88,25374129
2026-03-12T04:30:10Z,NVDA,186.03,138663908
2026-03-12T04:30:10Z,TSLA,407.82,62101725
2026-03-12T05:01:58Z,SPY,676.33,67291756
2026-03-12T05:01:58Z,QQQ,607.69,58692761
2026-03-12T05:01:58Z,AAPL,260.81,25826274
2026-03-12T05:01:58Z,MSFT,404.88,25374129
2026-03-12T05:01:58Z,NVDA,186.03,138663908
2026-03-12T05:01:58Z,TSLA,407.82,62101725
2026-03-12T05:30:08Z,SPY,676.33,67291756
2026-03-12T05:30:08Z,QQQ,607.69,58692761
2026-03-12T05:30:08Z,AAPL,260.81,25826274
2026-03-12T05:30:08Z,MSFT,404.88,25374129
2026-03-12T05:30:08Z,NVDA,186.03,138663908
2026-03-12T05:30:08Z,TSLA,407.82,62101725
2026-03-12T06:02:06Z,SPY,676.33,67291756
2026-03-12T06:02:06Z,QQQ,607.69,58692761
2026-03-12T06:02:06Z,AAPL,260.81,25826274
2026-03-12T06:02:06Z,MSFT,404.88,25374129
2026-03-12T06:02:06Z,NVDA,186.03,138663908
2026-03-12T06:02:06Z,TSLA,407.82,62101725
2026-03-12T06:30:11Z,SPY,676.33,67291756
2026-03-12T06:30:11Z,QQQ,607.69,58692761
2026-03-12T06:30:11Z,AAPL,260.81,25826274
2026-03-12T06:30:11Z,MSFT,404.88,25374129
2026-03-12T06:30:11Z,NVDA,186.03,138663908
2026-03-12T06:30:11Z,TSLA,407.82,62101725
2026-03-12T07:02:38Z,SPY,676.33,67291756
2026-03-12T07:02:38Z,QQQ,607.69,58692761
2026-03-12T07:02:38Z,AAPL,260.81,25826274
2026-03-12T07:02:38Z,MSFT,404.88,25374129
2026-03-12T07:02:38Z,NVDA,186.03,138663908
2026-03-12T07:02:38Z,TSLA,407.82,62101725
2026-03-12T07:30:13Z,SPY,676.33,67291756
2026-03-12T07:30:13Z,QQQ,607.69,58692761
2026-03-12T07:30:13Z,AAPL,260.81,25826274
2026-03-12T07:30:13Z,MSFT,404.88,25374129
2026-03-12T07:30:13Z,NVDA,186.03,138663908
2026-03-12T07:30:13Z,TSLA,407.82,62101725
2026-03-12T08:02:55Z,SPY,676.33,67291756
2026-03-12T08:02:55Z,QQQ,607.69,58692761
2026-03-12T08:02:55Z,AAPL,260.81,25826274
2026-03-12T08:02:55Z,MSFT,404.88,25374129
2026-03-12T08:02:55Z,NVDA,186.03,138663908
2026-03-12T08:02:55Z,TSLA,407.82,62101725
2026-03-12T08:30:35Z,SPY,676.33,67291756
2026-03-12T08:30:35Z,QQQ,607.69,58692761
2026-03-12T08:30:35Z,AAPL,260.81,25826274
2026-03-12T08:30:35Z,MSFT,404.88,25374129
2026-03-12T08:30:35Z,NVDA,186.03,138663908
2026-03-12T08:30:35Z,TSLA,407.82,62101725
2026-03-12T09:04:22Z,SPY,676.33,67291756
2026-03-12T09:04:22Z,QQQ,607.69,58692761
2026-03-12T09:04:22Z,AAPL,260.81,25826274
2026-03-12T09:04:22Z,MSFT,404.88,25374129
2026-03-12T09:04:22Z,NVDA,186.03,138663908
2026-03-12T09:04:22Z,TSLA,407.82,62101725
2026-03-12T09:30:11Z,SPY,676.33,67291756
2026-03-12T09:30:11Z,QQQ,607.69,58692761
2026-03-12T09:30:11Z,AAPL,260.81,25826274
2026-03-12T09:30:11Z,MSFT,404.88,25374129
2026-03-12T09:30:11Z,NVDA,186.03,138663908
2026-03-12T09:30:11Z,TSLA,407.82,62101725
2026-03-12T10:01:26Z,SPY,676.33,67291756
2026-03-12T10:01:26Z,QQQ,607.69,58692761
2026-03-12T10:01:26Z,AAPL,260.81,25826274
2026-03-12T10:01:26Z,MSFT,404.88,25374129
2026-03-12T10:01:26Z,NVDA,186.03,138663908
2026-03-12T10:01:26Z,TSLA,407.82,62101725
2026-03-12T10:30:11Z,SPY,676.33,67291756
2026-03-12T10:30:11Z,QQQ,607.69,58692761
2026-03-12T10:30:11Z,AAPL,260.81,25826274
2026-03-12T10:30:11Z,MSFT,404.88,25374129
2026-03-12T10:30:11Z,NVDA,186.03,138663908
2026-03-12T10:30:11Z,TSLA,407.82,62101725
2026-03-12T11:02:01Z,SPY,676.33,67291756
2026-03-12T11:02:01Z,QQQ,607.69,58692761
2026-03-12T11:02:01Z,AAPL,260.81,25826274
2026-03-12T11:02:01Z,MSFT,404.88,25374129
2026-03-12T11:02:01Z,NVDA,186.03,138663908
2026-03-12T11:02:01Z,TSLA,407.82,62101725
2026-03-12T11:30:13Z,SPY,676.33,67291756
2026-03-12T11:30:13Z,QQQ,607.69,58692761
2026-03-12T11:30:13Z,AAPL,260.81,25826274
2026-03-12T11:30:13Z,MSFT,404.88,25374129
2026-03-12T11:30:13Z,NVDA,186.03,138663908
2026-03-12T11:30:13Z,TSLA,407.82,62101725
2026-03-12T12:02:25Z,SPY,676.33,67291756
2026-03-12T12:02:25Z,QQQ,607.69,58692761
2026-03-12T12:02:25Z,AAPL,260.81,25826274
2026-03-12T12:02:25Z,MSFT,404.88,25374129
2026-03-12T12:02:25Z,NVDA,186.03,138663908
2026-03-12T12:02:25Z,TSLA,407.82,62101725
2026-03-12T12:31:33Z,SPY,676.33,67291756
2026-03-12T12:31:33Z,QQQ,607.69,58692761
